,values
1412,-3.32327
1413,-9.9227
1414,-4.55995
1415,-5.67592
1416,-4.66688
1417,-5.13717
1418,-4.27009
1419,-5.60973
1420,-4.66218
1421,-4.66849
1422,-6.84693
1423,-2.89433
1424,-7.98002
1425,-3.14314
1426,-8.73029
1427,-4.8057
1428,-5.37895
1429,-5.34098
1430,-5.61781
1431,-5.47767
1432,-5.74112
1433,-5.5004
1434,-5.88007
1435,-6.75444
1436,-5.07827
1437,-6.87846
1438,-4.07464
1439,-8.63556
1440,-3.64092
1441,-8.82385
1442,-1.34201
1443,-10.50276
1444,-1.32511
1445,-11.19794
1446,-1.56579
1447,-9.96462
1448,-2.26922
1449,-8.51964
1450,-2.07767
1451,-10.4301
1452,-1.93893
1453,-8.50283
1454,-1.6025
1455,-10.70457
1456,-0.06028
1457,-13.60429
1458,-0.2661
1459,-11.78093
1460,-1.57541
1461,-11.06534
1462,-1.36064
1463,-9.86136
1464,-2.50743
1465,-9.50074
1466,-2.33721
1467,-8.96653
1468,-0.59937
1469,-12.05234
1470,-2.54747
1471,-9.55442
1472,-5.14757
1473,-6.87039
1474,-4.14523
1475,-7.45643
1476,-4.41749
1477,-8.41476
1478,-4.01999
1479,-10.11825
1480,-1.31654
1481,-12.7821
1482,-2.19146
1483,-9.85936
1484,-3.43644
1485,-7.76138
1486,-2.20374
1487,-8.87231
1488,-2.72723
1489,-9.54647
1490,-2.1972
1491,-10.51581
1492,0.44367
1493,-13.58988
1494,-1.14323
1495,-12.93976
1496,2.0
1497,-15.97346
1498,-2.11159
1499,-11.95257
1500,-1.84557
1501,-11.75683
1502,-3.13838
1503,-6.45816
1504,-6.05905
1505,-7.45764
1506,-6.3269
1507,-3.66362
1508,-5.75783
1509,-3.4556
1510,-9.38267
1511,-3.22246
1512,-9.15836
1513,-4.21065
1514,-5.87362
1515,-7.55367
1516,-2.81061
1517,-9.10805
1518,-1.85946
1519,-10.33907
1520,-2.00472
1521,-11.26564
1522,-3.57121
1523,-11.67045
1524,-1.97061
1525,-11.43566
1526,-1.03888
1527,-8.93103
1528,-1.35106
1529,-10.77747
1530,-2.59854
1531,-8.99413
1532,-1.63786
1533,-9.35268
1534,-1.94124
1535,-11.49853
1536,-0.57911
1537,-13.15397
1538,-2.12247
1539,-10.03284
1540,-3.68936
1541,-8.36135
1542,-3.59338
1543,-7.6623
1544,-2.24598
1545,-7.85894
1546,-0.36957
1547,-11.01916
1548,-1.02106
1549,-12.09423
1550,-2.75844
1551,-10.15866
1552,-1.66027
1553,-8.87385
1554,-0.8164
1555,-10.2485
1556,-1.32179
1557,-11.19813
1558,-0.54377
1559,-12.47016
1560,-1.81542
1561,-9.70143
1562,-0.5055
1563,-11.7521
1564,-2.62828
1565,-10.54256
1566,-2.90958
1567,-9.71483
